"","x"
"260","prot-a-2930"
"261","ukb-b-11189"
"262","ukb-a-487"
"263","ukb-b-16886"
"264","prot-a-2978"
"265","prot-a-3180"
"266","ieu-a-970"
"267","ukb-d-ULCERNAS"
"268","prot-a-314"
"269","ukb-b-15555"
"270","met-a-316"
"271","ukb-b-4711"
"272","prot-a-3193"
"273","prot-a-3197"
"274","prot-a-3214"
"275","ieu-a-62"
"276","ieu-a-68"
"277","met-a-485"
"278","met-a-444"
"279","met-a-495"
"280","met-a-513"
"281","met-a-517"
"282","met-a-519"
"283","met-a-542"
"284","met-a-629"
"285","met-a-667"
"286","prot-a-3243"
"287","prot-a-3258"
"288","prot-b-71"
"289","prot-b-55"
"290","prot-b-38"
"291","ukb-b-15782"
"292","prot-a-2575"
