exposure.id	exposure.trait	exposure.sample_size	exposure.sex	outcome.id	outcome.sample_size	N_case	mr.pval	mr.b	mr.se
ieu-a-1095	Age at menarche	182416.0	Females	ieu-a-1127	175475.0	69501	0.181207938455026	-0.0487091234139029	0.0360000188650687
ieu-a-1095	Age at menarche	182416.0	Females	ieu-a-1128	127442.0	21468	0.174681578288401	0.0780493300380924	0.0568101179240906
ieu-a-1095	Age at menarche	182416.0	Females	ieu-a-1129	106776.0	61282	0.606714368621817	-0.0200908303584631	0.0388198621404217
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1127	175475.0	69501	7.69191897623922e-12	0.0684365711568185	0.00611890023255942
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1128	127442.0	21468	0.312487825411367	0.0406316994900227	0.0396312807084329
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1129	106776.0	61282	0.151947645090383	0.0217894736842106	0.0152088290797487
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1130	89677.0	46785	2.20195333188894e-09	0.0633928513403737	0.00763087646900787
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1132	83691.0	38197	0.0238705328170685	0.0374242535100798	0.0165652191948257
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1133	69970.0	27078	1.63761629262192e-08	0.0736	0.00974572744270268
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1137	22068.0	4480	0.558874858324635	-0.0255448717948718	0.043702788805986
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1134	21814.0	4226	0.000400726299362755	0.0725918604651163	0.0183683866668681
ieu-a-1004	Age at menopause	69360.0	Females	ukb-a-519	337199.0	5510	4.02674731044012e-06	0.00124629666613625	0.000228421974242762
ieu-a-1004	Age at menopause	69360.0	Females	ukb-a-55	337159.0	7480	8.67066550501408e-06	0.00120495097469804	0.000270902251630792
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1126	228951.0	122977	6.90924528411086e-11	0.0425421819308547	0.00652225949642208
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1135	55149.0	9655	0.00266779418234295	0.0464457811238763	0.0154632157909976
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1136	50225.0	7333	0.0831132210573129	0.0459351070640449	0.026507631010044
ieu-a-1004	Age at menopause	69360.0	Females	ieu-a-1131	32498.0	14910	0.0121388049264545	0.0625772809184318	0.0249502403178412
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1135	55149.0	9655	0.21640287890723	0.689841842346915	0.558056823585116
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1136	50225.0	7333	0.319024475374619	-0.320301756752913	0.321438180225471
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1131	32498.0	14910	0.308484292129805	0.59483564057192	0.584084055164442
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1137	22068.0	4480	0.88447065214895	0.132658214508783	0.912968520956932
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1134	21814.0	4226	0.5	2.43747938359503	2.43747938359503
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1127	175475.0	69501	0.0558665289714784	0.480426555438853	0.251259215980561
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1128	127442.0	21468	0.00305496812829824	0.213730721482793	0.0721538641382103
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1129	106776.0	61282	6.44404965359875e-46	0.300595463649104	0.0211320348261205
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1130	89677.0	46785	0.12783423826853	0.482298432384499	0.316739354337206
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1132	83691.0	38197	2.72469318505056e-54	0.382138568828175	0.0246294588585208
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1133	69970.0	27078	0.0682909977832439	0.689737930782879	0.378336242835577
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ukb-a-519	337199.0	5510	0.799429985447177	-0.00250351582165527	0.00985306893538287
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ukb-a-55	337159.0	7480	8.10136264612995e-18	0.00880373554910673	0.00102391082046257
ukb-a-323	Age started oral contraceptive pill	144113.0	Males and Females	ieu-a-1126	228951.0	122977	0.050691897705957	0.409846266961702	0.209738862614222
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ukb-a-519	337199.0	5510	0.672796530467578	-0.00272067552581517	0.00642568382599488
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ukb-a-55	337159.0	7480	0.192280685380346	-0.00344258221255379	0.00264029672952051
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1126	228951.0	122977	0.0464985006997854	-0.193693032687229	0.0959802811579006
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1127	175475.0	69501	0.757909065973317	-0.020678338876008	0.0670878638301887
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1128	127442.0	21468	0.503468611880938	0.167952651788924	0.250258274382227
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1129	106776.0	61282	0.777854497290282	-0.0185134967097367	0.0654737175716333
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1135	55149.0	9655	0.565197167550016	-0.0725044711090517	0.126064216820327
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1136	50225.0	7333	0.89217834721895	-0.0528375589969894	0.388912924409173
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1131	32498.0	14910	0.76461240180916	-0.0268160935859088	0.0893471740672197
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1137	22068.0	4480	0.561354099352191	-0.119562483766301	0.205847146966793
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1134	21814.0	4226	0.702920910711853	-0.0851818988464951	0.223351465359004
ukb-a-315	Age when periods started (menarche)	176008.0	Males and Females	ieu-a-1130	89677.0	46785	0.589104441779099	0.0431177654585712	0.0798278654936924
